concept_iid,term_code,pref_label,alt_labels,definition,status,created,modified,scope_note,related_ids,exact_match_ids,close_match_ids,replaced_by,source,note
aksdb:datacite_contributor_role/ContactPerson,ContactPerson,Contact person,{point of contact|poc},"Person with knowledge of how to access, troubleshoot, or address issues related to the resource.",accepted,1/1/26,1/1/26,"May also be used as the point of contact in an organization controlling access, if different from Publisher/Distributor/Data Manager.",,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,,,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/DataCollector,DataCollector,Data collector,{field crew|data gatherer},Person or institution responsible for gathering/collecting data under the guidance of the author(s) or Principal Investigator.,accepted,1/1/26,1/1/26,"May also cover survey conductors, interviewers, observers, or those monitoring instrument data.",,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,{https://credit.niso.org/contributor-roles/investigation/},,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/DataCurator,DataCurator,Data curator,{data librarian|curator},"Person tasked with reviewing, enhancing, cleaning, or standardizing metadata and associated data submitted for storage, use, and maintenance within a repository.",accepted,1/1/26,1/1/26,Role emphasizes content/metadata quality assurance; distinct from DataManager which emphasizes digital maintenance.,,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,{https://credit.niso.org/contributor-roles/data-curation/},,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/DataManager,DataManager,Data manager,{repository manager|data steward},"Person or organization responsible for maintaining the finished resource (e.g., refreshing, availability, protection, storage standards).",accepted,1/1/26,1/1/26,Focus is ongoing digital maintenance and stewardship of the resource over time.,,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,{https://credit.niso.org/contributor-roles/data-curation/},,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/Distributor,Distributor,Distributor,{disseminator|data distributor},Institution responsible for generating and disseminating copies of the resource in electronic or print form.,accepted,1/1/26,1/1/26,Works stored in more than one archive/repository may credit each as a distributor.,,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,,,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/Editor,Editor,Editor,{content editor|manuscript editor},Person who oversees details related to the publication format of the resource.,accepted,1/1/26,1/1/26,"If credited in place of multiple creators, the editor may be listed as Creator with “(Ed.)” appended.",,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,{https://credit.niso.org/contributor-roles/writing-review-editing/},,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/HostingInstitution,HostingInstitution,Hosting institution,{host organization},Organization that makes the resource available (online or offline) by providing hardware/software/operational support.,accepted,1/1/26,1/1/26,"Often the university, research center, or organization associated with the data center/repository.",,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,{https://credit.niso.org/contributor-roles/resources/},,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/Producer,Producer,Producer,{media producer},Person or organization responsible for the artistry and form of a media product.,accepted,1/1/26,1/1/26,"In data contexts, may be an entity producing media packaging for dissemination by a distributor.",,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,{https://credit.niso.org/contributor-roles/visualization/},,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/ProjectLeader,ProjectLeader,Project leader,{principal investigator|pi},Person officially designated as head of a project team or sub-project team instrumental in developing the resource.,accepted,1/1/26,1/1/26,Typically remains closely involved throughout the project’s lifecycle and deliverables.,,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,{https://credit.niso.org/contributor-roles/supervision/},,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
aksdb:datacite_contributor_role/ProjectManager,ProjectManager,Project manager,{project coordinator},Person officially designated as manager of a project (which may include multiple teams/sub-teams).,accepted,1/1/26,1/1/26,Typically has more administrative responsibility than direct work involvement.,,https://schema.datacite.org/meta/kernel-4.6/include/datacite-contributorType-v4.xsd,{https://credit.niso.org/contributor-roles/project-administration/},,https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/,{DataCite contributorType allowed value|Kernel 4.6 controlled list}
